nom,adresse,note,tarifs,horaires,moyens_paiement,latitude,longitude
Le Castelas,Montée de la vieille église,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux,,
La Chapelle Saint Joseph,Rue du Grand Pont,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine religieux,,
Le Lavoir,Place du lavoir,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Lavoir,,
La Fontaine de l'Ange,Place du Comte raymon VI,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Fontaine,,
La Chartreuse – Centre national des écritures du spectacle,58 rue de la République,Non disponible,"Plein tarif Du 14 octobre 2024 au 03 janvier 2026: 8 € - – Non communiqué; Tarif réduit Du 14 octobre 2024 au 03 janvier 2026: 6,50 € - – Non communiqué",Mardi: Ouvert de 10h à 13h et de 14h à 17h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h; Mardi: Ouvert de 09h30 à 18h30; Mercredi: Ouvert de 09h30 à 18h30; Jeudi: Ouvert de 09h30 à 18h30; Vendredi: Ouvert de 09h30 à 18h30; Samedi: Ouvert de 09h30 à 18h30; Dimanche: Ouvert de 09h30 à 18h30; Lundi: Ouvert de 09h30 à 18h30; Mardi: Ouvert de 09h30 à 18h30; Mercredi: Ouvert de 09h30 à 18h30; Jeudi: Ouvert de 09h30 à 18h30; Vendredi: Ouvert de 09h30 à 18h30; Samedi: Ouvert de 09h30 à 18h30; Dimanche: Ouvert de 09h30 à 18h30; Mardi: Ouvert de 09h30 à 18h30; Mercredi: Ouvert de 09h30 à 18h30; Jeudi: Ouvert de 09h30 à 18h30; Vendredi: Ouvert de 09h30 à 18h30; Samedi: Ouvert de 09h30 à 18h30; Dimanche: Ouvert de 09h30 à 18h30; Mardi: Ouvert de 10h à 13h et de 14h à 17h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h,Patrimoine historique; Patrimoine religieux; Chartreuse; Carte bancaire/crédit; Chèque; Espèces; Bar; Toilettes; Bibliothèque; Parking; Défibrillateur; Restaurant; Parking à proximité; Parking gratuit; Animaux acceptés; Visites pédagogiques; Location de salles; Boutique; Visites guidées; Accessible en poussette,43.9665144,4.7975804
L'Eglise paroissiale Saint Bardulphe,Rue de l'église,Non disponible,Aucun tarif disponible,Lundi: Ouvert; Mardi: Ouvert; Mercredi: Ouvert; Jeudi: Ouvert; Vendredi: Ouvert; Samedi: Ouvert; Dimanche: Ouvert,Patrimoine religieux; Eglise,43.8937143,4.9445401
Tour de l'Horloge,Rue Roumpe Quieu,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Tour; Beffroi / Tour de l'horloge,,
Abbaye Saint-André,Abbaye Saint-André – Fort Saint-André,Non disponible,"Plein tarif Du 01 mars 2025 au 31 octobre 2025: 9,50 € - – Non communiqué; Tarif réduit Du 01 mars 2025 au 31 octobre 2025: 8 € - – Non communiqué",Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h; Mardi: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 18h; Jeudi: Ouvert de 10h à 18h; Vendredi: Ouvert de 10h à 18h; Samedi: Ouvert de 10h à 18h; Dimanche: Ouvert de 10h à 18h; Mercredi: Ouvert de 10h à 13h et de 14h à 17h; Jeudi: Ouvert de 10h à 13h et de 14h à 17h; Vendredi: Ouvert de 10h à 13h et de 14h à 17h; Samedi: Ouvert de 10h à 13h et de 14h à 17h; Dimanche: Ouvert de 10h à 13h et de 14h à 17h,Patrimoine religieux; Abbaye; Visites gratuites; Visites guidées,,
Musée Pierre-de-Luxembourg,3 rue de la République,Non disponible,"Plein tarif Du 01 février 2025 au 30 décembre 2025: 4,50 € - – Non communiqué; Tarif réduit Du 01 février 2025 au 30 décembre 2025: 3,50 € - – Non communiqué",Mardi: Ouvert de 14h à 17h; Mercredi: Ouvert de 10h à 12h et de 14h à 17h; Jeudi: Ouvert de 14h à 17h; Vendredi: Ouvert de 14h à 17h; Samedi: Ouvert de 14h à 17h; Dimanche: Ouvert de 14h à 17h; Mardi: Ouvert de 10h à 12h30 et de 14h à 18h; Mercredi: Ouvert de 10h à 12h30 et de 14h à 18h; Jeudi: Ouvert de 10h à 12h30 et de 14h à 18h; Vendredi: Ouvert de 10h à 12h30 et de 14h à 18h; Samedi: Ouvert de 10h à 12h30 et de 14h à 18h; Dimanche: Ouvert de 10h à 12h30 et de 14h à 18h; Mardi: Ouvert de 14h à 17h; Mercredi: Ouvert de 10h à 12h et de 14h à 17h; Jeudi: Ouvert de 14h à 17h; Vendredi: Ouvert de 14h à 17h; Samedi: Ouvert de 14h à 17h; Dimanche: Ouvert de 14h à 17h,Arts et culture; Chèque; Espèces; Parking à proximité; Salle d'exposition; Toilettes; Visites pédagogiques; Visite à thème; Boutique; Documentation Touristique; Visites guidées,43.9485054,4.8060695
Tour des Templiers,Place de l'église,Non disponible,Aucun tarif disponible,Non disponible,Patrimoine historique; Tour,43.93554725,4.871315517763685
